48	105
48	105
48	104
48	105
48	105
48	105
48	105
49	105
48	105
48	104
49	104
48	105
48	104
48	104
48	105
48	104
48	105
48	104
47	104
48	105
47	104
48	105
48	105
47	104
48	105
48	104
48	105
48	105
48	104
48	105
48	105
48	105
47	104
48	105
48	105
48	104
49	105
48	104
48	105
47	104
48	106
48	103
48	104
48	104
48	104
48	105
48	104
48	105
48	105
48	105
48	105
48	104
48	104
48	105
48	105
48	105
49	104
48	105
48	105
47	104
48	104
48	104
48	104
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	104
48	105
48	106
48	105
48	105
48	104
48	105
48	104
48	105
48	106
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	105
48	106
48	106
48	105
48	105
48	105
48	106
48	105
48	105
48	105
49	105
49	105
48	105
48	105
48	104
49	105
48	106
48	104
48	105
48	105
48	105
48	105
49	105
48	106
49	105
49	105
49	106
48	106
49	106
48	106
49	106
48	105
48	106
49	105
48	106
48	106
48	105
50	105
48	106
49	105
48	106
48	105
48	104
48	105
48	105
48	106
48	105
49	105
48	105
48	105
48	105
48	105
48	105
48	105
48	104
48	105
48	106
49	106
48	105
48	105
48	106
48	105
48	105
49	106
48	106
49	105
49	105
50	105
48	106
48	104
48	105
49	106
49	106
49	106
49	105
49	106
50	106
48	106
48	105
49	105
49	105
49	106
50	106
49	106
50	106
50	106
50	105
49	105
49	106
48	105
48	106
49	105
49	106
48	106
48	105
48	105
48	106
48	105
49	106
49	106
48	105
49	105
49	104
49	106
50	104
49	106
50	106
48	106
50	105
48	106
48	106
50	106
48	105
48	105
48	106
48	106
48	106
48	106
48	105
48	106
49	106
48	105
49	105
50	105
48	105
48	105
48	105
48	106
48	105
48	105
48	106
49	106
49	106
48	105
50	105
49	106
48	106
50	106
49	106
48	104
48	105
49	105
48	105
48	106
48	105
48	104
48	104
48	105
49	104
48	105
47	104
48	104
48	105
48	105
48	105
48	104
48	104
48	105
48	104
48	104
48	105
48	106
48	105
48	105
48	105
48	103
48	106
48	105
48	104
48	105
48	105
48	105
47	104
48	106
48	105
48	105
48	104
48	105
49	104
48	105
48	105
48	104
48	104
48	104
48	105
48	105
47	105
48	104
48	105
48	105
48	104
48	104
48	104
48	104
48	105
48	104
48	105
48	104
48	104
48	104
48	105
48	104
47	104
47	104
48	105
48	104
48	104
47	105
47	104
48	104
48	105
48	105
48	104
48	104
48	105
47	104
48	104
48	104
48	103
48	104
48	104
48	104
48	104
48	105
48	104
48	105
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	105
47	104
48	105
48	104
47	105
48	104
47	105
48	104
48	105
48	104
47	104
47	104
48	104
48	104
48	104
48	105
48	105
47	104
48	105
48	105
48	105
48	105
48	105
48	105
47	104
48	104
48	105
47	104
48	105
47	104
48	105
48	105
48	105
48	106
48	105
49	104
48	105
48	105
48	105
48	105
48	105
48	106
48	104
48	104
48	104
48	105
48	105
47	105
48	105
47	104
48	104
48	104
47	104
48	104
48	105
48	105
48	104
48	104
48	104
47	104
48	105
48	104
48	105
48	105
48	104
47	104
48	104
48	102
48	105
48	103
48	103
47	105
48	104
48	104
48	104
48	104
48	103
48	105
48	104
48	105
48	104
48	104
48	105
48	106
48	104
48	104
48	105
48	104
48	105
48	104
48	105
48	104
48	105
48	104
48	105
47	104
48	104
48	105
48	105
48	105
48	103
48	104
48	104
48	105
48	104
48	104
48	104
48	104
48	105
48	104
48	104
48	105
48	104
48	104
48	105
48	104
48	105
48	104
48	105
47	105
48	104
47	104
47	104
47	104
48	104
48	104
48	104
48	105
48	104
48	105
48	104
48	104
48	104
48	104
48	104
48	105
48	105
48	105
47	104
48	104
49	104
48	105
48	104
48	105
49	105
48	104
48	104
48	103
48	105
49	104
49	104
48	105
48	105
48	105
48	104
49	106
48	105
48	105
49	104
48	104
48	105
48	105
48	105
48	105
48	104
49	105
48	104
49	105
48	105
48	105
49	105
49	105
48	104
48	105
48	105
48	104
48	104
49	104
48	105
48	104
48	105
48	104
48	105
48	105
48	104
48	105
49	104
49	104
48	105
48	105
48	104
48	105
48	104
48	104
48	104
48	104
48	105
48	104
49	105
48	105
48	104
48	104
48	105
48	105
47	105
48	105
49	104
48	105
48	104
48	104
48	105
48	104
48	104
48	105
48	104
48	105
48	104
48	105
48	104
49	105
48	104
48	105
49	103
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	105
48	104
47	105
48	105
48	104
48	104
48	103
48	104
47	104
48	104
47	105
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	104
48	105
47	104
48	103
48	104
48	105
48	104
47	103
47	103
48	104
48	105
48	104
48	104
48	104
48	104
48	104
47	104
48	104
48	104
48	104
48	104
48	104
47	105
48	103
48	104
48	104
48	104
48	104
48	105
48	104
48	105
47	104
48	105
48	104
48	104
47	104
48	104
48	104
47	104
47	104
48	104
47	104
48	104
48	104
47	104
47	103
48	104
48	103
47	105
48	105
48	104
48	104
48	104
48	105
48	104
48	105
48	105
47	104
48	104
48	105
48	104
48	105
48	105
48	105
48	104
48	105
49	104
48	104
48	105
49	105
48	106
48	105
48	104
48	105
49	105
48	104
49	105
49	105
48	105
48	105
49	106
49	105
50	105
49	105
48	105
49	105
48	105
48	105
48	105
48	105
48	106
48	105
48	106
48	105
49	105
49	105
48	105
48	104
48	105
48	105
48	105
48	105
48	104
48	105
48	104
48	105
48	103
48	104
48	104
48	104
48	105
47	104
48	105
48	104
48	104
48	104
48	104
48	104
48	105
47	104
47	105
48	104
48	104
48	104
48	105
47	104
48	103
47	104
48	104
47	104
47	104
47	105
48	104
48	104
47	105
48	105
48	104
48	104
48	104
47	104
47	104
48	104
48	104
47	105
48	104
48	104
48	103
47	104
48	105
47	104
47	104
47	103
47	104
47	104
47	105
48	104
48	104
48	105
47	104
47	104
47	104
48	103
48	104
48	104
48	104
48	105
48	104
48	104
48	104
48	105
48	103
48	105
